㚫	SHA4 ZHA4	ㄕㄚ4 ㄓㄚ4
㚭	YOU2	ㄧㄡ2
㚯	XIN2 XUN2	ㄒㄧㄣ2 ㄒㄨㄣ2
㚰	BI3	ㄅㄧ3
㚲	DIAN3 SHAN4	ㄉㄧㄢ3 ㄕㄢ4
㚴	BU4	ㄅㄨ4
㚶	SI4	ㄙ4
㚷	ER3 NAI3	ㄦ3 ㄋㄞ3
㚹	MAO3	ㄇㄠ3
㚺	YUN4	ㄩㄣ4
㚽	QIAO3	ㄑㄧㄠ3
㚿	PAO2	ㄆㄠ2
㛂	NUO3	ㄋㄨㄛ3
㛃	JIE2	ㄐㄧㄝ2
㛅	ER4	ㄦ4
㛆	DUO3	ㄉㄨㄛ3
㛊	DUO3	ㄉㄨㄛ3
㛍	QIE4	ㄑㄧㄝ4
㛏	OU4 QIU2	ㄡ4 ㄑㄧㄡ2
㛐	SOU3 XUAN2	ㄙㄡ3 ㄒㄨㄢ2
㛑	CAN4	ㄘㄢ4
㛒	DOU4	ㄉㄡ4
㛔	PENG2	ㄆㄥ2
㛕	YI4	ㄧ4
㛗	ZUO4	ㄗㄨㄛ4
㛘	PO4	ㄆㄛ4
㛙	QIE4 QIN2 SHEN3 SHEN4	ㄑㄧㄝ4 ㄑㄧㄣ2 ㄕㄣ3 ㄕㄣ4
㛚	TONG3	ㄊㄨㄥ3
㛛	XIN4 ZHEN4	ㄒㄧㄣ4 ㄓㄣ4
㛜	YOU2	ㄧㄡ2
㛝	BEI4 BENG4	ㄅㄟ4 ㄅㄥ4
㛞	LONG4	ㄌㄨㄥ4
㛥	TA4	ㄊㄚ4
㛦	LAN3	ㄌㄢ3
㛧	MAN3	ㄇㄢ3
㛨	QIANG3	ㄑㄧㄤ3
㛩	ZHOU2	ㄓㄡ2
㛪	YAN4 YUAN2	ㄧㄢ4 ㄩㄢ2
㛬	LU4	ㄌㄨ4
㛮	SAO3	ㄙㄠ3
㛯	MIAN3	ㄇㄧㄢ3
㛱	RUI4 WEI3	ㄖㄨㄟ4 ㄨㄟ3
㛲	FA4	ㄈㄚ4
㛳	CHA4 YI4	ㄔㄚ4 ㄧ4
㛴	NAO3	ㄋㄠ3
㛶	CHOU2 TAN2 TAN4	ㄔㄡ2 ㄊㄢ2 ㄊㄢ4
㛸	SHU4	ㄕㄨ4
㛹	PIAN2	ㄆㄧㄢ2
㛻	KUI3	ㄎㄨㄟ3
㛼	SHA4	ㄕㄚ4
㛾	XIAN2	ㄒㄧㄢ2
㛿	ZHI4	ㄓ4
㜃	LIAN4 LIAO2 MANG2	ㄌㄧㄢ4 ㄌㄧㄠ2 ㄇㄤ2
㜄	XUN2	ㄒㄨㄣ2
㜅	XU4	ㄒㄨ4
㜆	MI4	ㄇㄧ4
㜇	HUI4 YE4	ㄏㄨㄟ4 ㄧㄝ4
㜈	MU4	ㄇㄨ4
㜊	PANG4 ZHAN3	ㄆㄤ4 ㄓㄢ3
㜋	YI4	ㄧ4
㜌	GOU4	ㄍㄡ4
㜍	TANG2	ㄊㄤ2
㜎	QI2 XI4	ㄑㄧ2 ㄒㄧ4
㜏	YUN2	ㄩㄣ2
㜐	SHU4	ㄕㄨ4
㜑	FU2 PO2	ㄈㄨ2 ㄆㄛ2
㜒	YI4	ㄧ4
㜓	DA2	ㄉㄚ2
㜕	LIAN2	ㄌㄧㄢ2
㜖	CAO2	ㄘㄠ2
㜗	CAN3 CHU2 XUAN4	ㄘㄢ3 ㄔㄨ2 ㄒㄨㄢ4
㜘	JU4	ㄐㄨ4
㜙	LU4	ㄌㄨ4
㜚	SU4	ㄙㄨ4
㜛	NEN4 RUAN3	ㄋㄣ4 ㄖㄨㄢ3
㜜	AO4	ㄠ4
㜝	AN3 AN4	ㄢ3 ㄢ4
㜞	QIAN4	ㄑㄧㄢ4
㜣	RAN2	ㄖㄢ2
㜤	SHEN3	ㄕㄣ3
㜥	MAI2 MO2	ㄇㄞ2 ㄇㄛ2
㜦	HAN4 NIE4 SI4 XIE2 XIN2	ㄏㄢ4 ㄋㄧㄝ4 ㄙ4 ㄒㄧㄝ2 ㄒㄧㄣ2
㜧	YUE4	ㄩㄝ4
㜨	ER2 NAI2	ㄦ2 ㄋㄞ2
